Страна,Заболели,Умерли,Вылечились,Активные случаи
Кения ,'255088 ', 5335, 0, 249753
Латвия ,'253659 ', 4179, 0, 249480
Катар ,'243447 ', 611, 0, 242836
Эстония ,'222584 ', 1800, 0, 220784
Северная Македония ,'215585 ', 7581, 0, 208004
Нигерия ,'214218 ', 2977, 0, 211241
Австралия ,'211655 ', 2011, 0, 209644
Алжир ,'210531 ', 6071, 0, 204460
Замбия ,'210169 ', 3667, 0, 206502
Албания ,'199945 ', 3096, 0, 196849
Ботсвана ,'195068', 2418, 0, 192650
Узбекистан ,'193208 ', 1402, 0, 191806
Финляндия ,'186538 ', 1335, 0, 185203
Киргизия ,'183351 ', 2746, 0, 180605
Косово ,'161091 ', 2984, 0, 158107
Черногория ,'157376 ', 2307, 0, 155069
Афганистан ,'157289 ', 7308, 0, 149981
Мозамбик ,'151548 ', 1941, 0, 149607
Зимбабве ,'134625 ', 4707, 0, 129918
Кипр ,'134473 ', 597, 0, 133876
Гана ,'130920', 1209, 0, 129711
Намибия ,'129187 ', 3573, 0, 125614
Уганда ,'127550 ', 3252, 0, 124298
Камбоджа ,'120134 ', 2940, 0, 117194
Сальвадор ,'119803', 3776, 0, 116027
Китай ,'111337 ', 4849, 0, 106488
Камерун ,'106794', 1791, 0, 105003
Руанда ,'100349 ', 1342, 0, 99007
Мальдивы ,'91650 ', 250, 0, 91400
Ямайка ,'91249 ', 2392, 0, 88857
Люксембург ,'89181 ', 875, 0, 88306
Сенегал ,'73987', 1885, 0, 72102
Лаос ,'73738 ', 170, 0, 73568
Тринидад и Тобаго ,'71361 ', 2158, 0, 69203
Ангола ,'65168 ', 1733, 0, 63435
Малави ,'61916 ', 2306, 0, 59610
Кот-д’Ивуар ,'61724 ', 704, 0, 61020
Реюньон ,'61188 ', 384, 0, 60804
Конго - Киншаса ,'58234', 1107, 0, 57127
Гваделупа ,'55080', 823, 0, 54257
Фиджи ,'52506', 696, 0, 51810
Суринам ,'50848 ', 1167, 0, 49681
Сирия ,'48170 ', 2749, 0, 45421
Эсватини ,'46656 ', 1248, 0, 45408
Французская Гвиана ,'45984 ', 327, 0, 45657
Французская Полинезия ,'45609', 636, 0, 44973
Мартиника ,'45176', 710, 0, 44466
Мадагаскар ,'44330', 967, 0, 43363
Судан ,'43084 ', 3159, 0, 39925
Мальта ,'39435 ', 468, 0, 38967
Мавритания ,'39266 ', 832, 0, 38434
Кабо-Верде ,'38370 ', 349, 0, 38021
Гайана ,'37874 ', 994, 0, 36880
Габон ,'37342', 279, 0, 37063
Папуа — Новая Гвинея ,'35179 ', 546, 0, 34633
Гвинея ,'30770', 387, 0, 30383
Белиз ,'30431 ', 578, 0, 29853
Танзания ,'26270 ', 730, 0, 25540
Того ,'26265 ', 243, 0, 26022
Барбадос ,'25316 ', 229, 0, 25087
Гаити ,'25175', 738, 0, 24437
Бенин ,'24850', 161, 0, 24689
Сейшельские Острова ,'23417 ', 125, 0, 23292
Сомали ,'23016', 1327, 0, 21689
Багамы ,'22791 ', 671, 0, 22120
Лесото ,'21779 ', 662, 0, 21117
Маврикий ,'21040', 240, 0, 20800
Бурунди ,'20415', 38, 0, 20377
Восточный Тимор ,'19823 ', 122, 0, 19701
Конго - Браззавиль ,'18970 ', 354, 0, 18616
Исландия ,'17894 ', 35, 0, 17859
Таджикистан ,'17493', 125, 0, 17368
Мали ,'17434 ', 606, 0, 16828
Кюрасао ,'17401', 178, 0, 17223
Никарагуа ,'17254 ', 212, 0, 17042
Андорра ,'17115 ', 131, 0, 16984
Тайвань ,'16601 ', 848, 0, 15753
Аруба ,'16354 ', 174, 0, 16180
Буркина-Фасо ,'16000 ', 286, 0, 15714
Бруней-Даруссалам ,'15058', 97, 0, 14961
Экваториальная Гвинея ,'13592 ', 175, 0, 13417
Джибути ,'13504', 186, 0, 13318
Сент-Люсия ,'13000 ', 280, 0, 12720
Южный Судан ,'12758 ', 133, 0, 12625
Новая Каледония ,'12159 ', 276, 0, 11883
Новая Зеландия ,'11724 ', 44, 0, 11680
ЦАР ,'11708', 101, 0, 11607
о-в Мэн ,'11339 ', 66, 0, 11273
Йемен ,'10004 ', 1950, 0, 8054
Гамбия ,'9989', 342, 0, 9647
Эритрея ,'7358 ', 60, 0, 7298
Гибралтар ,'7248 ', 98, 0, 7150
Острова Кайман ,'7074 ', 5, 0, 7069
Нигер ,'7007 ', 259, 0, 6748
Гвинея-Бисау ,'6440', 148, 0, 6292
Сьерра-Леоне ,'6402', 121, 0, 6281
Сан-Марино ,'6039 ', 93, 0, 5946
Доминика ,'6028 ', 38, 0, 5990
Гренада ,'5897 ', 200, 0, 5697
Либерия ,'5824 ', 287, 0, 5537
Бермудские о-ва ,'5748', 106, 0, 5642
Сент-Винсент и Гренадины ,'5525', 74, 0, 5451
Чад ,'5107', 175, 0, 4932
Лихтенштейн ,'4678 ', 61, 0, 4617
Синт-Мартен ,'4588 ', 75, 0, 4513
Коморы ,'4501 ', 150, 0, 4351
Антигуа и Барбуда ,'4141', 117, 0, 4024
Сен-Мартен ,'4031 ', 56, 0, 3975
Монако ,'3738', 36, 0, 3702
Сан-Томе и Принсипи ,'3731', 56, 0, 3675
Фарерские о-ва ,'3626 ', 13, 0, 3613
о-ва Тёркс и Кайкос ,'3096', 24, 0, 3072
Сент-Китс и Невис ,'2786 ', 28, 0, 2758
Виргинские о-ва  ,'2773', 38, 0, 2735
Бутан ,'2640', 3, 0, 2637
Сен-Бартелеми ,'1672 ', 6, 0, 1666
Гренландия ,'1456', 0, 0, 1456
Ангилья ,'1386', 3, 0, 1383
Лайнер «Даймонд Принсесс» ,'712', 13, 0, 699
Фолклендские о-ва ,'79', 0, 0, 79
Сен-Пьер и Микелон ,'70 ', 0, 0, 70
Монтсеррат ,'44', 1, 0, 43
Ватикан ,'27', 0, 0, 27
Соломоновы Острова ,'20', 0, 0, 20
Палау ,'8', 0, 0, 8
Вануату ,'6', 1, 0, 5
Маршалловы Острова ,'4', 0, 0, 4
Самоа ,'3', 0, 0, 3
Кирибати ,'2', 0, 0, 2
Тонга ,'1', 0, 0, 1
Федеративные Штаты Микронезии ,'1', 0, 0, 1
 'Всего', 263007526, 5222077, 8364932
